kart,matchRank,matches,rankinggrade2,trackId
9bc087c44de7d959774ab7bc1a624539b805b535f5512fce770fffbabdb1849a,6,01a6001f45a953c9,5,
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,4,01a6001f45a953c9,5,
,7,01a6001f45a953c9,5,
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,8,01a6001f45a953c9,5,
,1,01a6001f45a953c9,5,
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,2,01a6001f45a953c9,5,
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,5,01a6001f45a953c9,5,
dfe61bab589936d40672a671ddc51d69db743a348e4ead116a09cbc410e597f9,3,01a6001f45a953c9,0,
e7a8ef399eb956e8cec3f1b66b2cc8c94015b94bcc31e85cbea144846b2ff163,3,3690001045a1ddff,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,1,3690001045a1ddff,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,5,3690001045a1ddff,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
dfe61bab589936d40672a671ddc51d69db743a348e4ead116a09cbc410e597f9,99,3690001045a1ddff,2,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
0bfa4bd1a3dd24f1d816c81cc3ff0542e4a81785ac6410b1c85664dcace5a5f6,2,3690001045a1ddff,1,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
b9008b5508aedcd760f5fb15d174c569feea52875549615feb9d1336cd607cae,6,3690001045a1ddff,0,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
7a9a61c3c35fb986b200a76306fec6c718d0b69b3f343c95bf32592426c4f77c,4,3690001045a1ddff,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,7,3690001045a1ddff,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
,3,dee8001045a1d787,4,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
645fdc466934cdbfdd7537c67e039f68a9045f31b97338feb14064ad0318c2ca,5,dee8001045a1d787,5,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,1,dee8001045a1d787,0,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,,dee8001045a1d787,0,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
9bc087c44de7d959774ab7bc1a624539b805b535f5512fce770fffbabdb1849a,99,dee8001045a1d787,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
ffd2a1758730357726de85bdcf68789e4c38980fcebc62e25b9e71aabf6e732f,4,dee8001045a1d787,4,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,2,dee8001045a1d787,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
9bc087c44de7d959774ab7bc1a624539b805b535f5512fce770fffbabdb1849a,99,dee8001045a1d787,2,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,99,0083000c45a44d0b,0,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
dfe61bab589936d40672a671ddc51d69db743a348e4ead116a09cbc410e597f9,2,0083000c45a44d0b,2,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
